max_south_usage,date
918.3,2016-10-01
889.3,2016-10-02
1038.7,2016-10-03
1059,2016-10-04
1079.4,2016-10-05
1042.9,2016-10-06
997.1,2016-10-07
903.7,2016-10-08
869.6,2016-10-09
892.9,2016-10-10
1052.8,2016-10-11
1048.7,2016-10-12
1054.2,2016-10-13
1061.8,2016-10-14
993.7,2016-10-15
951.6,2016-10-16
1086.8,2016-10-17
1074.8,2016-10-18
1077.8,2016-10-19
1055.9,2016-10-20
1085,2016-10-21
1027.7,2016-10-22
944,2016-10-23
1089.8,2016-10-24
1072.9,2016-10-25
1091.5,2016-10-26
1098.3,2016-10-27
1085.5,2016-10-28
973.6,2016-10-29
898.5,2016-10-30
983.1,2016-10-31
1030.9,2016-11-01
1026.5,2016-11-02
1019.5,2016-11-03
1015.1,2016-11-04
908.4,2016-11-05
902.6,2016-11-06
1017,2016-11-07
1044.4,2016-11-08
1010.8,2016-11-09
955.2,2016-11-10
971.2,2016-11-11
888.4,2016-11-12
867.4,2016-11-13
984.4,2016-11-14
998.1,2016-11-15
998,2016-11-16
976.8,2016-11-17
962.7,2016-11-18
903.3,2016-11-19
858.6,2016-11-20
975.1,2016-11-21
979.6,2016-11-22
957.2,2016-11-23
961.8,2016-11-24
937.2,2016-11-25
888.9,2016-11-26
824.2,2016-11-27
932.9,2016-11-28
923.9,2016-11-29
936.6,2016-11-30
969.6,2016-12-01
957.1,2016-12-02
909.9,2016-12-03
848.7,2016-12-04
980.4,2016-12-05
980.4,2016-12-06
973.6,2016-12-07
958.2,2016-12-08
950.4,2016-12-09
893.9,2016-12-10
838.7,2016-12-11
946.8,2016-12-12
971.7,2016-12-13
969.5,2016-12-14
949.6,2016-12-15
956.7,2016-12-16
875.4,2016-12-17
844.4,2016-12-18
956.4,2016-12-19
972.4,2016-12-20
993.5,2016-12-21
1002.3,2016-12-22
965.8,2016-12-23
874.3,2016-12-24
838.1,2016-12-25
935.2,2016-12-26
959,2016-12-27
937.2,2016-12-28
941,2016-12-29
930.9,2016-12-30
837.2,2016-12-31
808.6,2017-01-01
838.5,2017-01-02
937.1,2017-01-03
936.2,2017-01-04
922.1,2017-01-05
932.6,2017-01-06
872.9,2017-01-07
816.8,2017-01-08
938.6,2017-01-09
941.3,2017-01-10
948.4,2017-01-11
981.7,2017-01-12
930.5,2017-01-13
878.1,2017-01-14
822.2,2017-01-15
926.4,2017-01-16
933.4,2017-01-17
953.6,2017-01-18
974.5,2017-01-19
937,2017-01-20
875.4,2017-01-21
861.4,2017-01-22
908.8,2017-01-23
910.7,2017-01-24
1020.9,2017-04-19
1044.9,2017-04-20
1034.8,2017-04-21
878.8,2017-04-22
845.4,2017-04-23
966,2017-04-24
1001.9,2017-04-25
1038.8,2017-04-26
1006.1,2017-04-27
960.5,2017-04-28
872.2,2017-04-29
840.2,2017-04-30
898.4,2017-05-01
1014,2017-05-02
1052.5,2017-05-03
1055.4,2017-05-04
1080.9,2017-05-05
998.7,2017-05-06
921.1,2017-05-07
1068.8,2017-05-08
1089.2,2017-05-09
1104.7,2017-05-10
1087.9,2017-05-11
1102.5,2017-05-12
996,2017-05-13
915.2,2017-05-14
1080.5,2017-05-15
1014,2017-05-16
1023,2017-05-17
1057.1,2017-05-18
1047.8,2017-05-19
915.5,2017-05-20
909.5,2017-05-21
1076.7,2017-05-22
1070.5,2017-05-23
1073.4,2017-05-24
1060.7,2017-05-25
1051.6,2017-05-26
950.4,2017-05-27
900.6,2017-05-28
917.9,2017-05-29
910.4,2017-05-30
1070.2,2017-05-31
1054.3,2017-06-01
1059.4,2017-06-02
1036.8,2017-06-03
917.9,2017-06-04
1050.7,2017-06-05
1032.7,2017-06-06
1071.7,2017-06-07
1101.5,2017-06-08
1093.9,2017-06-09
1030.1,2017-06-10
1030.4,2017-06-11
1116.7,2017-06-12
1115.3,2017-06-13
1079.6,2017-06-14
1022.6,2017-06-15
1049.9,2017-06-16
945.1,2017-06-17
920.2,2017-06-18
1068,2017-06-19
1083.1,2017-06-20
1119.9,2017-06-21
1161,2017-06-22
1095.5,2017-06-23
1023.2,2017-06-24
967.5,2017-06-25
1156.8,2017-06-26
1134.6,2017-06-27
1138.1,2017-06-28
1123.2,2017-06-29
1118.4,2017-06-30
