max_temperature,date(obsTime)
31.1,2016-10-01
32.9,2016-10-02
31.3,2016-10-03
31.4,2016-10-04
31.7,2016-10-05
30.2,2016-10-06
28.2,2016-10-07
28.5,2016-10-08
27.5,2016-10-09
28.4,2016-10-10
30,2016-10-11
30.1,2016-10-12
30.8,2016-10-13
31,2016-10-14
32.1,2016-10-15
32.5,2016-10-16
33.1,2016-10-17
31.4,2016-10-18
31.6,2016-10-19
33.1,2016-10-20
32.1,2016-10-21
32.5,2016-10-22
32.5,2016-10-23
32.2,2016-10-24
31.6,2016-10-25
32.1,2016-10-26
31.6,2016-10-27
31.7,2016-10-28
30.6,2016-10-29
30.5,2016-10-30
30,2016-10-31
28.4,2016-11-01
26.5,2016-11-02
27.5,2016-11-03
27.9,2016-11-04
28.2,2016-11-05
29.4,2016-11-06
30.7,2016-11-07
29.2,2016-11-08
26,2016-11-09
22.6,2016-11-10
25.2,2016-11-11
30.2,2016-11-12
29.8,2016-11-13
30.8,2016-11-14
31.6,2016-11-15
29,2016-11-16
29.8,2016-11-17
28.1,2016-11-18
32,2016-11-19
30.4,2016-11-20
24.9,2016-11-21
25.4,2016-11-22
21.9,2016-11-23
26.1,2016-11-24
27.9,2016-11-25
25.5,2016-11-26
21.6,2016-11-27
25.3,2016-11-28
25.5,2016-11-29
24.7,2016-11-30
24.6,2016-12-01
26.7,2016-12-02
27.3,2016-12-03
27.9,2016-12-04
28.2,2016-12-05
22.3,2016-12-06
23.4,2016-12-07
25.7,2016-12-08
26.8,2016-12-09
28,2016-12-10
26.7,2016-12-11
25.9,2016-12-12
29.3,2016-12-13
24.8,2016-12-14
20,2016-12-15
17.8,2016-12-16
23.9,2016-12-17
25.4,2016-12-18
27.1,2016-12-19
30.2,2016-12-20
29.6,2016-12-21
27.3,2016-12-22
26.3,2016-12-23
24.9,2016-12-24
26.3,2016-12-25
23.4,2016-12-26
20.6,2016-12-27
14.8,2016-12-28
19.8,2016-12-29
24.2,2016-12-30
25.4,2016-12-31
25.6,2017-01-01
25.2,2017-01-02
26.2,2017-01-03
25.1,2017-01-04
26,2017-01-05
26.1,2017-01-06
26.5,2017-01-07
27.1,2017-01-08
25,2017-01-09
25.5,2017-01-10
25.7,2017-01-11
23.6,2017-01-12
19.8,2017-01-13
18.8,2017-01-14
