max_temperature,date(obsTime)
30.4,2016-10-01
32.3,2016-10-02
31.1,2016-10-03
30.3,2016-10-04
31.8,2016-10-05
30.8,2016-10-06
31.5,2016-10-07
26.5,2016-10-08
25.9,2016-10-09
28.6,2016-10-10
31.6,2016-10-11
31,2016-10-12
30.4,2016-10-13
30.7,2016-10-14
31.9,2016-10-15
31.2,2016-10-16
31.3,2016-10-17
31.2,2016-10-18
31.3,2016-10-19
30.7,2016-10-20
32.9,2016-10-21
31.5,2016-10-22
31.5,2016-10-23
32.1,2016-10-24
31.1,2016-10-25
32,2016-10-26
31.6,2016-10-27
31.2,2016-10-28
30.8,2016-10-29
31.2,2016-10-30
30.8,2016-10-31
29.2,2016-11-01
28.1,2016-11-02
28.5,2016-11-03
28.9,2016-11-04
28.2,2016-11-05
29.4,2016-11-06
30,2016-11-07
30.1,2016-11-08
28.4,2016-11-09
26.6,2016-11-10
26.8,2016-11-11
29.7,2016-11-12
28.7,2016-11-13
30.4,2016-11-14
29.3,2016-11-15
29.8,2016-11-16
29.2,2016-11-17
29.7,2016-11-18
31.7,2016-11-19
29.8,2016-11-20
28.6,2016-11-21
26.4,2016-11-22
24.5,2016-11-23
26.1,2016-11-24
27,2016-11-25
26.6,2016-11-26
21.5,2016-11-27
23.9,2016-11-28
25.5,2016-11-29
24,2016-11-30
25.7,2016-12-01
25.2,2016-12-02
27.1,2016-12-03
27.5,2016-12-04
27.7,2016-12-05
23.9,2016-12-06
24.9,2016-12-07
25.9,2016-12-08
26.4,2016-12-09
27.2,2016-12-10
26,2016-12-11
26.2,2016-12-12
29,2016-12-13
26.1,2016-12-14
22,2016-12-15
18.6,2016-12-16
23.3,2016-12-17
24.6,2016-12-18
26.6,2016-12-19
27.3,2016-12-20
27.4,2016-12-21
28.6,2016-12-22
26.1,2016-12-23
25.1,2016-12-24
26,2016-12-25
24.9,2016-12-26
20.7,2016-12-27
15.6,2016-12-28
19.6,2016-12-29
21.5,2016-12-30
24.7,2016-12-31
25.2,2017-01-01
25.1,2017-01-02
26.2,2017-01-03
25.6,2017-01-04
25.2,2017-01-05
25.7,2017-01-06
26.4,2017-01-07
27.5,2017-01-08
25.7,2017-01-09
24.9,2017-01-10
25.1,2017-01-11
24.2,2017-01-12
24,2017-01-13
19.7,2017-01-14
21.4,2017-01-15
22.1,2017-01-16
23,2017-01-17
25.2,2017-01-18
26.8,2017-01-19
22,2017-01-20
20.2,2017-01-21
21.6,2017-01-22
22.4,2017-01-23
22.1,2017-01-24
22.2,2017-01-25
23.6,2017-01-26
24.2,2017-01-27
24.4,2017-01-28
28,2017-01-29
26.5,2017-01-30
23.1,2017-01-31
23.2,2017-02-01
22.7,2017-02-02
23.4,2017-02-03
22.8,2017-02-04
23.8,2017-02-05
24.9,2017-02-06
23.5,2017-02-07
22.8,2017-02-08
17.8,2017-02-09
17.2,2017-02-10
14,2017-02-11
19.2,2017-02-12
22.8,2017-02-13
23.6,2017-02-14
22.3,2017-02-15
24.7,2017-02-16
27,2017-02-17
25.1,2017-02-18
24.9,2017-02-19
28.1,2017-02-20
26.1,2017-02-21
26.5,2017-02-22
27,2017-02-23
18.9,2017-02-24
21.6,2017-02-25
20.7,2017-02-26
23.3,2017-02-27
23.1,2017-02-28
23.1,2017-03-01
23.7,2017-03-02
23.7,2017-03-03
25.5,2017-03-04
27.4,2017-03-05
24.4,2017-03-06
19.2,2017-03-07
16.1,2017-03-08
23.9,2017-03-09
28,2017-03-10
25.7,2017-03-11
27.2,2017-03-12
29.3,2017-03-13
22.1,2017-03-14
23.6,2017-03-15
23.9,2017-03-16
26.2,2017-03-17
27.1,2017-03-18
27.8,2017-03-19
27.8,2017-03-20
30.2,2017-03-21
27.2,2017-03-22
30.1,2017-03-23
27.8,2017-03-24
26.9,2017-03-25
17,2017-03-26
25.6,2017-03-27
26.5,2017-03-28
28.9,2017-03-29
28.2,2017-03-30
29,2017-03-31
22.8,2017-04-01
24.5,2017-04-02
25.1,2017-04-03
25.6,2017-04-04
28.2,2017-04-05
27.5,2017-04-06
27.7,2017-04-07
29.7,2017-04-08
29.1,2017-04-09
31.3,2017-04-10
30.6,2017-04-11
25.9,2017-04-12
22.9,2017-04-13
28.7,2017-04-14
30.4,2017-04-15
30.7,2017-04-16
31.3,2017-04-17
29.4,2017-04-18
30.6,2017-04-19
30.3,2017-04-20
30,2017-04-21
24.1,2017-04-22
23.3,2017-04-23
27.9,2017-04-24
29.3,2017-04-25
30.5,2017-04-26
26.5,2017-04-27
26.8,2017-04-28
28.9,2017-04-29
29.2,2017-04-30
29.8,2017-05-01
31,2017-05-02
31.7,2017-05-03
31.4,2017-05-04
31.3,2017-05-05
32.5,2017-05-06
31.6,2017-05-07
30.8,2017-05-08
31,2017-05-09
31.2,2017-05-10
32.4,2017-05-11
33.2,2017-05-12
31.4,2017-05-13
32.3,2017-05-14
31.6,2017-05-15
27.5,2017-05-16
30.6,2017-05-17
31.4,2017-05-18
30.3,2017-05-19
27.3,2017-05-20
31.7,2017-05-21
30.8,2017-05-22
31.2,2017-05-23
30,2017-05-24
30.5,2017-05-25
30.8,2017-05-26
30.8,2017-05-27
30.1,2017-05-28
32.3,2017-05-29
27.5,2017-05-30
30.8,2017-05-31
30.3,2017-06-01
29.2,2017-06-02
29.4,2017-06-03
28.8,2017-06-04
31.4,2017-06-05
33,2017-06-06
33.2,2017-06-07
33.7,2017-06-08
32.9,2017-06-09
33.8,2017-06-10
33.9,2017-06-11
34.1,2017-06-12
33.6,2017-06-13
29.7,2017-06-14
27.2,2017-06-15
30.3,2017-06-16
28.4,2017-06-17
30.4,2017-06-18
30.9,2017-06-19
31.9,2017-06-20
32.7,2017-06-21
33.7,2017-06-22
32.7,2017-06-23
32.4,2017-06-24
32.9,2017-06-25
33.4,2017-06-26
33.2,2017-06-27
33,2017-06-28
33.4,2017-06-29
32.9,2017-06-30
