max_north_usage,max_north_supply,max_temperature,w_date
1099.4,943,32.6,2016-10-01
1031.6,872.9,34.8,2016-10-02
1275.4,1150.5,32.5,2016-10-03
1263,1139.6,32.3,2016-10-04
1282.9,1150.8,30.6,2016-10-05
1295.1,1099.9,33.1,2016-10-06
1222.4,1108.1,27.1,2016-10-07
1041.2,890.7,31.3,2016-10-08
896.2,739.8,24.2,2016-10-09
939.2,837.1,23.9,2016-10-10
1153,1012.7,27.5,2016-10-11
1127.9,1011.5,24.4,2016-10-12
1114.8,1044.8,26,2016-10-13
1118.2,1049.5,26.5,2016-10-14
1018.1,957.5,29.4,2016-10-15
975.3,889,31.9,2016-10-16
1225.7,1075.3,31.3,2016-10-17
1251.4,1086.3,31.8,2016-10-18
1260.7,1089.1,31.5,2016-10-19
1282.7,1065,32.8,2016-10-20
1301.1,1084.9,34.2,2016-10-21
1108,1005.9,31.8,2016-10-22
1018.8,910.9,32.9,2016-10-23
1206.4,1086.9,29.4,2016-10-24
1182.4,1096.6,33.5,2016-10-25
1296.6,1164.3,33.4,2016-10-26
1271.3,1141.1,31.9,2016-10-27
1266.1,1130.3,32.2,2016-10-28
959.9,953,26.1,2016-10-29
851.3,844.4,23.7,2016-10-30
960.9,957,26.1,2016-10-31
1041.4,1012,23.4,2016-11-01
1012.9,1002.9,21.2,2016-11-02
1016.3,962.4,22.4,2016-11-03
1037.5,978.4,22.9,2016-11-04
915.8,886.5,29.4,2016-11-05
891.6,788.8,29.5,2016-11-06
1100.3,1017,30.8,2016-11-07
1105.9,1023.4,26,2016-11-08
1022.1,986.5,20.6,2016-11-09
1025.2,993.2,20.1,2016-11-10
972.2,952.1,23,2016-11-11
897.9,899.9,28.8,2016-11-12
900.4,817.1,32.1,2016-11-13
1101.1,1052.5,31.7,2016-11-14
1105.7,1088,26.9,2016-11-15
1103.5,1063.9,26.7,2016-11-16
1117.1,1038.1,29.9,2016-11-17
1098.5,1055.5,29,2016-11-18
964,923.5,30.4,2016-11-19
903.7,770.8,28.3,2016-11-20
1074.1,984.9,24.3,2016-11-21
1096.8,982.4,24.3,2016-11-22
1055.5,958.7,20.8,2016-11-23
1013,959.2,19.5,2016-11-24
1036.9,968.6,23.7,2016-11-25
905.4,839.6,28.9,2016-11-26
845.4,760.6,19.4,2016-11-27
988.2,946.1,21.7,2016-11-28
1015.3,963.3,23.4,2016-11-29
1048.3,923,25.1,2016-11-30
1021.1,906.9,21.8,2016-12-01
1011.2,945.7,21.2,2016-12-02
912.3,835,22.7,2016-12-03
886.7,773.7,26.4,2016-12-04
1039.7,962.6,22.9,2016-12-05
1024,903.7,20.9,2016-12-06
1024.7,909.8,20.6,2016-12-07
1037.7,907.2,21.6,2016-12-08
1016.5,939,22.2,2016-12-09
895.1,859,23.2,2016-12-10
863.9,741.3,21.5,2016-12-11
1030.8,931.4,27.7,2016-12-12
1024,953.8,24.9,2016-12-13
1010.6,891.7,20.2,2016-12-14
995.1,897.7,16.1,2016-12-15
972.5,889.2,15.9,2016-12-16
874.4,788.5,22.1,2016-12-17
858.2,700.6,27,2016-12-18
1029.6,873.8,27.4,2016-12-19
1060.4,942.3,28.6,2016-12-20
1087.4,937.1,30.1,2016-12-21
1048.1,924.5,23.4,2016-12-22
991.5,847.4,20.2,2016-12-23
866.7,703.8,21.8,2016-12-24
855.1,662.1,27,2016-12-25
989.1,848.7,27.7,2016-12-26
1003.2,873.2,21,2016-12-27
994.2,864.4,16.2,2016-12-28
979.4,850.6,16.4,2016-12-29
945,761.6,20.3,2016-12-30
841.4,692.6,24.3,2016-12-31
803,594.8,27.2,2017-01-01
880.2,644.3,26.1,2017-01-02
1042.4,783.9,21.9,2017-01-03
1050,840.6,26.7,2017-01-04
1059.9,890,26.1,2017-01-05
1049.3,849.5,25.4,2017-01-06
920.3,711.3,26.3,2017-01-07
864,699.7,22.3,2017-01-08
1010.9,835.7,18.4,2017-01-09
1017.4,817,20.7,2017-01-10
1025.3,917.8,21.3,2017-01-11
1029.2,837.1,22.1,2017-01-12
1009.1,853.5,18.2,2017-01-13
873.2,663.2,15.3,2017-01-14
881.9,644.5,14.6,2017-01-15
1002.8,831.5,16.2,2017-01-16
1013.4,878.4,22.7,2017-01-17
1024.2,873.3,23.6,2017-01-18
1022.6,898.3,21.5,2017-01-19
1005.7,764.1,17.1,2017-01-20
892.6,674.5,15.8,2017-01-21
866,567.1,17.5,2017-01-22
990.8,782.3,15.5,2017-01-23
979.5,819.4,15.6,2017-01-24
NULL,NULL,16.9,2017-01-25
NULL,NULL,19.9,2017-01-26
NULL,NULL,23.2,2017-01-27
NULL,NULL,25.7,2017-01-28
NULL,NULL,25.8,2017-01-29
NULL,NULL,20.1,2017-01-30
NULL,NULL,17.9,2017-01-31
NULL,NULL,18.2,2017-02-01
NULL,NULL,16.5,2017-02-02
NULL,NULL,24.8,2017-02-03
NULL,NULL,24.4,2017-02-04
NULL,NULL,23.1,2017-02-05
NULL,NULL,19.5,2017-02-06
NULL,NULL,19.7,2017-02-07
NULL,NULL,21.4,2017-02-08
NULL,NULL,13.8,2017-02-09
NULL,NULL,13.1,2017-02-10
NULL,NULL,14.2,2017-02-11
NULL,NULL,15.6,2017-02-12
NULL,NULL,19.1,2017-02-13
NULL,NULL,19.9,2017-02-14
NULL,NULL,24.7,2017-02-15
NULL,NULL,25.3,2017-02-16
NULL,NULL,27.4,2017-02-17
NULL,NULL,22.5,2017-02-18
NULL,NULL,27.1,2017-02-19
NULL,NULL,25.4,2017-02-20
NULL,NULL,22.9,2017-02-21
NULL,NULL,23.2,2017-02-22
NULL,NULL,18.7,2017-02-23
NULL,NULL,13.9,2017-02-24
NULL,NULL,14.8,2017-02-25
NULL,NULL,14.4,2017-02-26
NULL,NULL,16.1,2017-02-27
NULL,NULL,16.1,2017-02-28
NULL,NULL,19.7,2017-03-01
NULL,NULL,16.3,2017-03-02
NULL,NULL,20,2017-03-03
NULL,NULL,21.7,2017-03-04
NULL,NULL,25.6,2017-03-05
NULL,NULL,19.9,2017-03-06
NULL,NULL,15.6,2017-03-07
NULL,NULL,15.1,2017-03-08
NULL,NULL,17.3,2017-03-09
NULL,NULL,18.2,2017-03-10
NULL,NULL,22.8,2017-03-11
NULL,NULL,27.6,2017-03-12
NULL,NULL,21.1,2017-03-13
NULL,NULL,14.8,2017-03-14
NULL,NULL,17,2017-03-15
NULL,NULL,17.6,2017-03-16
NULL,NULL,20.2,2017-03-17
NULL,NULL,25.2,2017-03-18
NULL,NULL,20.6,2017-03-19
NULL,NULL,24.5,2017-03-20
NULL,NULL,21.5,2017-03-21
NULL,NULL,25.6,2017-03-22
NULL,NULL,23.6,2017-03-23
NULL,NULL,25.6,2017-03-24
NULL,NULL,21,2017-03-25
NULL,NULL,15.6,2017-03-26
NULL,NULL,24.3,2017-03-27
NULL,NULL,26.4,2017-03-28
NULL,NULL,26.6,2017-03-29
NULL,NULL,28.3,2017-03-30
NULL,NULL,26.3,2017-03-31
NULL,NULL,18.7,2017-04-01
NULL,NULL,22.6,2017-04-02
NULL,NULL,25.2,2017-04-03
NULL,NULL,26.7,2017-04-04
NULL,NULL,29.1,2017-04-05
NULL,NULL,26.1,2017-04-06
NULL,NULL,28,2017-04-07
NULL,NULL,31.2,2017-04-08
NULL,NULL,31.6,2017-04-09
NULL,NULL,35.2,2017-04-10
NULL,NULL,25.6,2017-04-11
NULL,NULL,18.2,2017-04-12
NULL,NULL,21.9,2017-04-13
NULL,NULL,23.9,2017-04-14
NULL,NULL,28.6,2017-04-15
NULL,NULL,30.7,2017-04-16
NULL,NULL,31.7,2017-04-17
NULL,NULL,28,2017-04-18
1096.4,976.6,29,2017-04-19
1146.6,979.9,28.4,2017-04-20
1163.3,991.2,30.7,2017-04-21
882.6,844.2,18.8,2017-04-22
844.8,706.5,21.9,2017-04-23
1028.4,951.5,23.9,2017-04-24
1071.8,1002.1,27.4,2017-04-25
1122.6,1023.8,28.2,2017-04-26
1020.8,958.8,19.8,2017-04-27
998.4,922.9,23.9,2017-04-28
849.3,781.5,26.9,2017-04-29
844.8,833.1,29.4,2017-04-30
915,813.9,31.1,2017-05-01
1096.8,986,30.1,2017-05-02
1162,1019.5,28.4,2017-05-03
1185.1,1034.3,31.6,2017-05-04
1187.6,1020.4,31.8,2017-05-05
956,872.8,25.9,2017-05-06
898,785.6,25.8,2017-05-07
1188.4,981.5,32,2017-05-08
1149.3,1004.2,28.4,2017-05-09
1228.9,1029.8,32.5,2017-05-10
1255,1103.6,34.4,2017-05-11
1236,1132.3,31.2,2017-05-12
975.9,1007,26.6,2017-05-13
949.7,838.8,30.6,2017-05-14
1223.6,1066,30.7,2017-05-15
1099.9,1036.5,21.9,2017-05-16
1118.9,980.1,26.6,2017-05-17
1147.2,1037,28.8,2017-05-18
1139,1068,26.9,2017-05-19
939.6,902.1,29.5,2017-05-20
921,880.2,26.7,2017-05-21
1177.9,1106.3,29.6,2017-05-22
1227.4,1120.5,31.9,2017-05-23
1261.1,1145.3,32.4,2017-05-24
1122.5,1083.7,23.7,2017-05-25
1089.8,1074.8,25.4,2017-05-26
904.7,912.4,25.7,2017-05-27
868.9,813.3,25.7,2017-05-28
922.3,913.9,30.4,2017-05-29
957.8,843.9,31,2017-05-30
1250.4,1148.5,33.9,2017-05-31
1256.9,1099.6,33.6,2017-06-01
1237.9,1082.3,29.1,2017-06-02
1135.9,990.7,25.8,2017-06-03
987.1,788.4,27.2,2017-06-04
1221.8,1092.6,30.9,2017-06-05
1288.6,1123.6,34.1,2017-06-06
1334.5,1114,34.5,2017-06-07
1332.1,1117,33.4,2017-06-08
1334.9,1112.5,33.9,2017-06-09
1159.4,1049.9,33.1,2017-06-10
1082.3,1008.8,33.7,2017-06-11
1340.5,1171,34.5,2017-06-12
1334.5,1155,33.2,2017-06-13
1213.2,1126.4,26.6,2017-06-14
1129.8,1043.9,23.3,2017-06-15
1170.3,1014.4,26.3,2017-06-16
971.7,875.5,25.2,2017-06-17
938.3,814.7,26.1,2017-06-18
1167.7,1005.2,30.1,2017-06-19
1232.1,1038.1,33.8,2017-06-20
1292.4,1161.8,34.7,2017-06-21
1340.5,1216.2,34.1,2017-06-22
1342.5,1210.2,35.1,2017-06-23
1161.9,1038.5,34.1,2017-06-24
1112.8,983.3,34.1,2017-06-25
1393.6,1214.5,35,2017-06-26
1399.2,1211.6,34.9,2017-06-27
1400,1199.3,34.8,2017-06-28
1403,1211.7,35.1,2017-06-29
1370.6,1193.1,34.9,2017-06-30
