max_south_usage,max_south_supply,max_temperature,w_date
918.3,1045.2,30.4,2016-10-01
889.3,989.5,32.3,2016-10-02
1038.7,1083,31.1,2016-10-03
1059,1095.8,30.3,2016-10-04
1079.4,1109,31.8,2016-10-05
1042.9,1146.8,30.8,2016-10-06
997.1,1069.6,31.5,2016-10-07
903.7,980,26.5,2016-10-08
869.6,872.8,25.9,2016-10-09
892.9,927.6,28.6,2016-10-10
1052.8,1059.9,31.6,2016-10-11
1048.7,1086.7,31,2016-10-12
1054.2,1083.1,30.4,2016-10-13
1061.8,1043.8,30.7,2016-10-14
993.7,1035.2,31.9,2016-10-15
951.6,878.5,31.2,2016-10-16
1086.8,1092.4,31.3,2016-10-17
1074.8,1140.2,31.2,2016-10-18
1077.8,1130.6,31.3,2016-10-19
1055.9,1138.5,30.7,2016-10-20
1085,1171.6,32.9,2016-10-21
1027.7,1061.6,31.5,2016-10-22
944,935.7,31.5,2016-10-23
1089.8,1106.4,32.1,2016-10-24
1072.9,1114.1,31.1,2016-10-25
1091.5,1124.5,32,2016-10-26
1098.3,1115.9,31.6,2016-10-27
1085.5,1094.9,31.2,2016-10-28
973.6,932.4,30.8,2016-10-29
898.5,792.4,31.2,2016-10-30
983.1,963.5,30.8,2016-10-31
1030.9,1030.8,29.2,2016-11-01
1026.5,1033.9,28.1,2016-11-02
1019.5,1028.1,28.5,2016-11-03
1015.1,1014.1,28.9,2016-11-04
908.4,954.7,28.2,2016-11-05
902.6,881.8,29.4,2016-11-06
1017,1034.4,30,2016-11-07
1044.4,1015.5,30.1,2016-11-08
1010.8,1029.3,28.4,2016-11-09
955.2,983.8,26.6,2016-11-10
971.2,956.8,26.8,2016-11-11
888.4,885.7,29.7,2016-11-12
867.4,818.9,28.7,2016-11-13
984.4,1003,30.4,2016-11-14
998.1,997.4,29.3,2016-11-15
998,1028.6,29.8,2016-11-16
976.8,1012.8,29.2,2016-11-17
962.7,988.2,29.7,2016-11-18
903.3,1002.3,31.7,2016-11-19
858.6,911.6,29.8,2016-11-20
975.1,1064.1,28.6,2016-11-21
979.6,1076.1,26.4,2016-11-22
957.2,1043.9,24.5,2016-11-23
961.8,1088.4,26.1,2016-11-24
937.2,1067.4,27,2016-11-25
888.9,1036.1,26.6,2016-11-26
824.2,926.3,21.5,2016-11-27
932.9,1076.7,23.9,2016-11-28
923.9,1060,25.5,2016-11-29
936.6,1033.4,24,2016-11-30
969.6,1080.1,25.7,2016-12-01
957.1,1108.2,25.2,2016-12-02
909.9,1077.1,27.1,2016-12-03
848.7,942.9,27.5,2016-12-04
980.4,1123.8,27.7,2016-12-05
980.4,1121,23.9,2016-12-06
973.6,1133.6,24.9,2016-12-07
958.2,1120.3,25.9,2016-12-08
950.4,1135,26.4,2016-12-09
893.9,993.7,27.2,2016-12-10
838.7,895.3,26,2016-12-11
946.8,1078.4,26.2,2016-12-12
971.7,1110.5,29,2016-12-13
969.5,1105,26.1,2016-12-14
949.6,1095.3,22,2016-12-15
956.7,1094.6,18.6,2016-12-16
875.4,996,23.3,2016-12-17
844.4,934.4,24.6,2016-12-18
956.4,1117.1,26.6,2016-12-19
972.4,1104.8,27.3,2016-12-20
993.5,1106.7,27.4,2016-12-21
1002.3,1098.8,28.6,2016-12-22
965.8,1107.8,26.1,2016-12-23
