max_temperature,date(obsTime)
32.6,2016-10-01
34.8,2016-10-02
32.5,2016-10-03
32.3,2016-10-04
30.6,2016-10-05
33.1,2016-10-06
27.1,2016-10-07
31.3,2016-10-08
24.2,2016-10-09
23.9,2016-10-10
27.5,2016-10-11
24.4,2016-10-12
26,2016-10-13
26.5,2016-10-14
29.4,2016-10-15
31.9,2016-10-16
31.3,2016-10-17
31.8,2016-10-18
31.5,2016-10-19
32.8,2016-10-20
34.2,2016-10-21
31.8,2016-10-22
32.9,2016-10-23
29.4,2016-10-24
33.5,2016-10-25
33.4,2016-10-26
31.9,2016-10-27
32.2,2016-10-28
26.1,2016-10-29
23.7,2016-10-30
26.1,2016-10-31
23.4,2016-11-01
21.2,2016-11-02
22.4,2016-11-03
22.9,2016-11-04
29.4,2016-11-05
29.5,2016-11-06
30.8,2016-11-07
26,2016-11-08
20.6,2016-11-09
20.1,2016-11-10
23,2016-11-11
28.8,2016-11-12
32.1,2016-11-13
31.7,2016-11-14
26.9,2016-11-15
26.7,2016-11-16
29.9,2016-11-17
29,2016-11-18
30.4,2016-11-19
28.3,2016-11-20
24.3,2016-11-21
24.3,2016-11-22
20.8,2016-11-23
19.5,2016-11-24
23.7,2016-11-25
28.9,2016-11-26
19.4,2016-11-27
21.7,2016-11-28
23.4,2016-11-29
25.1,2016-11-30
21.8,2016-12-01
21.2,2016-12-02
22.7,2016-12-03
26.4,2016-12-04
22.9,2016-12-05
20.9,2016-12-06
20.6,2016-12-07
21.6,2016-12-08
22.2,2016-12-09
23.2,2016-12-10
21.5,2016-12-11
27.7,2016-12-12
24.9,2016-12-13
20.2,2016-12-14
16.1,2016-12-15
15.9,2016-12-16
22.1,2016-12-17
27,2016-12-18
27.4,2016-12-19
28.6,2016-12-20
30.1,2016-12-21
23.4,2016-12-22
20.2,2016-12-23
21.8,2016-12-24
27,2016-12-25
27.7,2016-12-26
21,2016-12-27
16.2,2016-12-28
16.4,2016-12-29
20.3,2016-12-30
24.3,2016-12-31
27.2,2017-01-01
26.1,2017-01-02
21.9,2017-01-03
26.7,2017-01-04
26.1,2017-01-05
