max_temperature,date(obsTime)
30.4,2016-10-01
30.6,2016-10-02
31.5,2016-10-03
31.6,2016-10-04
30.8,2016-10-05
28.6,2016-10-06
26,2016-10-07
24.7,2016-10-08
24.9,2016-10-09
28.3,2016-10-10
29.9,2016-10-11
30.6,2016-10-12
31.1,2016-10-13
30.3,2016-10-14
31.6,2016-10-15
30.8,2016-10-16
31.2,2016-10-17
31,2016-10-18
30.9,2016-10-19
29.3,2016-10-20
31.3,2016-10-21
31.3,2016-10-22
31.6,2016-10-23
30,2016-10-24
30.3,2016-10-25
31.2,2016-10-26
31.3,2016-10-27
31.3,2016-10-28
30.7,2016-10-29
28,2016-10-30
30.2,2016-10-31
28.7,2016-11-01
27.1,2016-11-02
26.9,2016-11-03
28.3,2016-11-04
28.7,2016-11-05
29.4,2016-11-06
28.4,2016-11-07
29.1,2016-11-08
25.4,2016-11-09
27.2,2016-11-10
25.9,2016-11-11
28.1,2016-11-12
29.1,2016-11-13
28.8,2016-11-14
28.7,2016-11-15
28.9,2016-11-16
29.2,2016-11-17
30,2016-11-18
29.9,2016-11-19
25.7,2016-11-20
26.1,2016-11-21
24.9,2016-11-22
24.1,2016-11-23
24.7,2016-11-24
26.7,2016-11-25
28.4,2016-11-26
22.2,2016-11-27
22.7,2016-11-28
24.4,2016-11-29
24.1,2016-11-30
25.5,2016-12-01
25.2,2016-12-02
27.3,2016-12-03
28.7,2016-12-04
28.2,2016-12-05
25.2,2016-12-06
24.8,2016-12-07
26.2,2016-12-08
26.5,2016-12-09
26.8,2016-12-10
26.7,2016-12-11
27.6,2016-12-12
27.3,2016-12-13
25.2,2016-12-14
20.5,2016-12-15
18.2,2016-12-16
22.1,2016-12-17
26,2016-12-18
26.5,2016-12-19
27.3,2016-12-20
25.5,2016-12-21
27.9,2016-12-22
23.5,2016-12-23
23.2,2016-12-24
25.9,2016-12-25
27.3,2016-12-26
23.8,2016-12-27
19.3,2016-12-28
21.6,2016-12-29
21.8,2016-12-30
25.3,2016-12-31
25.1,2017-01-01
26.6,2017-01-02
26.5,2017-01-03
26.2,2017-01-04
26.9,2017-01-05
27.4,2017-01-06
27.5,2017-01-07
27,2017-01-08
24.3,2017-01-09
23.6,2017-01-10
25.2,2017-01-11
21.8,2017-01-12
21.8,2017-01-13
19.1,2017-01-14
20.4,2017-01-15
23,2017-01-16
23.4,2017-01-17
24.8,2017-01-18
26.8,2017-01-19
21,2017-01-20
21.1,2017-01-21
19.6,2017-01-22
20.2,2017-01-23
22.2,2017-01-24
22.5,2017-01-25
22.8,2017-01-26
24.6,2017-01-27
25.5,2017-01-28
24,2017-01-29
27.2,2017-01-30
21.6,2017-01-31
22.9,2017-02-01
22.3,2017-02-02
25.4,2017-02-03
21.8,2017-02-04
24.3,2017-02-05
22.4,2017-02-06
23.8,2017-02-07
26,2017-02-08
20,2017-02-09
15.4,2017-02-10
13.6,2017-02-11
15.1,2017-02-12
21.8,2017-02-13
22.2,2017-02-14
24.5,2017-02-15
25.3,2017-02-16
25.8,2017-02-17
26.4,2017-02-18
25.4,2017-02-19
24.5,2017-02-20
24.6,2017-02-21
27.2,2017-02-22
24,2017-02-23
22.2,2017-02-24
22.8,2017-02-25
20.9,2017-02-26
21.2,2017-02-27
24.2,2017-02-28
25,2017-03-01
21.8,2017-03-02
21.1,2017-03-03
25.1,2017-03-04
27.1,2017-03-05
26.1,2017-03-06
18.8,2017-03-07
16.9,2017-03-08
23,2017-03-09
28.5,2017-03-10
24.3,2017-03-11
26.7,2017-03-12
27.3,2017-03-13
22.9,2017-03-14
21.4,2017-03-15
21.1,2017-03-16
24.8,2017-03-17
26.9,2017-03-18
27.1,2017-03-19
27.3,2017-03-20
26.6,2017-03-21
26.6,2017-03-22
24.4,2017-03-23
24.3,2017-03-24
27.1,2017-03-25
18.5,2017-03-26
24.6,2017-03-27
25,2017-03-28
23.4,2017-03-29
25.2,2017-03-30
