max_center_usage,max_center_supply,max_temperature,w_date
763.5,869.9,31.1,2016-10-01
738.5,828.8,32.9,2016-10-02
820,950.2,31.3,2016-10-03
850.6,972.5,31.4,2016-10-04
835.6,966,31.7,2016-10-05
835.6,988.2,30.2,2016-10-06
859,960.3,28.2,2016-10-07
756.9,889.5,28.5,2016-10-08
684.7,856.8,27.5,2016-10-09
711.8,879.5,28.4,2016-10-10
827.2,966.8,30,2016-10-11
797.1,938.1,30.1,2016-10-12
795.6,931.1,30.8,2016-10-13
783.2,947.2,31,2016-10-14
734.3,892.5,32.1,2016-10-15
714.4,931.7,32.5,2016-10-16
848.3,1033.3,33.1,2016-10-17
842.1,1014.6,31.4,2016-10-18
843.4,1033.2,31.6,2016-10-19
855.9,1030.2,33.1,2016-10-20
854.4,1079.6,32.1,2016-10-21
765.6,894.2,32.5,2016-10-22
726.9,869,32.5,2016-10-23
834.8,999.3,32.2,2016-10-24
821.2,952.3,31.6,2016-10-25
854.7,1057.6,32.1,2016-10-26
854.4,1090.4,31.6,2016-10-27
837.4,1004.5,31.7,2016-10-28
721.5,854.9,30.6,2016-10-29
668.3,833.4,30.5,2016-10-30
726.6,850.9,30,2016-10-31
744.3,825.3,28.4,2016-11-01
727.7,777.7,26.5,2016-11-02
741.8,867.8,27.5,2016-11-03
747.4,893.8,27.9,2016-11-04
690.7,798.7,28.2,2016-11-05
657.3,851,29.4,2016-11-06
781.2,945.7,30.7,2016-11-07
769.1,910,29.2,2016-11-08
733.1,861.4,26,2016-11-09
788.1,868.2,22.6,2016-11-10
772.2,862.7,25.2,2016-11-11
708.7,790.1,30.2,2016-11-12
684.4,872.5,29.8,2016-11-13
792.8,918.6,30.8,2016-11-14
805.2,873.3,31.6,2016-11-15
802.2,874.5,29,2016-11-16
807.6,939.7,29.8,2016-11-17
818.6,885.4,28.1,2016-11-18
751.9,760.2,32,2016-11-19
694.1,821,30.4,2016-11-20
802.4,856.3,24.9,2016-11-21
794.4,852.2,25.4,2016-11-22
768.6,798.9,21.9,2016-11-23
754.2,760.1,26.1,2016-11-24
781.5,783.1,27.9,2016-11-25
693.2,672.5,25.5,2016-11-26
660.2,698.5,21.6,2016-11-27
743.5,706,25.3,2016-11-28
784.3,768.7,25.5,2016-11-29
767.5,829.9,24.7,2016-11-30
729.3,768.4,24.6,2016-12-01
709.1,706.8,26.7,2016-12-02
676.2,630.6,27.3,2016-12-03
647.7,707.1,27.9,2016-12-04
740.7,743.2,28.2,2016-12-05
716.9,746.5,22.3,2016-12-06
750.1,829.5,23.4,2016-12-07
754.4,778.9,25.7,2016-12-08
738,770.1,26.8,2016-12-09
675.2,693.8,28,2016-12-10
647.6,764.4,26.7,2016-12-11
745.6,769.6,25.9,2016-12-12
745.5,756.2,29.3,2016-12-13
716.7,781.5,24.8,2016-12-14
716.9,731.9,20,2016-12-15
703.7,730.2,17.8,2016-12-16
675.6,704.1,23.9,2016-12-17
633.1,756.3,25.4,2016-12-18
747.3,794.2,27.1,2016-12-19
768.3,860.3,30.2,2016-12-20
748.1,838.6,29.6,2016-12-21
725.1,835.3,27.3,2016-12-22
716,837.5,26.3,2016-12-23
669.2,766.3,24.9,2016-12-24
627.2,804.3,26.3,2016-12-25
720.7,797.1,23.4,2016-12-26
711.6,848.8,20.6,2016-12-27
725.2,792,14.8,2016-12-28
705.4,835,19.8,2016-12-29
695.7,805.7,24.2,2016-12-30
645.6,772.8,25.4,2016-12-31
619.4,784,25.6,2017-01-01
655.6,824.4,25.2,2017-01-02
745.2,818.1,26.2,2017-01-03
773.4,803.2,25.1,2017-01-04
781.9,795.6,26,2017-01-05
749.5,825.7,26.1,2017-01-06
700.4,768,26.5,2017-01-07
662.4,766.3,27.1,2017-01-08
739.4,819,25,2017-01-09
752.6,864.8,25.5,2017-01-10
760.9,790.1,25.7,2017-01-11
744.1,829.1,23.6,2017-01-12
733,798.7,19.8,2017-01-13
667.6,779.3,18.8,2017-01-14
650.3,826.5,17.7,2017-01-15
748,836.7,19.9,2017-01-16
762.3,780.9,23.2,2017-01-17
732.8,801.3,24.2,2017-01-18
724.1,774,26.5,2017-01-19
721,829.2,20.5,2017-01-20
670.4,802.3,22.1,2017-01-21
641.6,816.2,22.3,2017-01-22
732.3,835.1,22.6,2017-01-23
721.3,834.3,21.5,2017-01-24
NULL,NULL,22.3,2017-01-25
NULL,NULL,23.6,2017-01-26
NULL,NULL,23.4,2017-01-27
NULL,NULL,28.8,2017-01-28
NULL,NULL,27.9,2017-01-29
NULL,NULL,27.6,2017-01-30
NULL,NULL,23.7,2017-01-31
NULL,NULL,22.8,2017-02-01
NULL,NULL,21.9,2017-02-02
NULL,NULL,23.5,2017-02-03
NULL,NULL,23.8,2017-02-04
NULL,NULL,24.5,2017-02-05
NULL,NULL,26.3,2017-02-06
NULL,NULL,24.4,2017-02-07
NULL,NULL,23.4,2017-02-08
NULL,NULL,16,2017-02-09
NULL,NULL,16.7,2017-02-10
NULL,NULL,18.6,2017-02-11
NULL,NULL,21.1,2017-02-12
NULL,NULL,24.8,2017-02-13
NULL,NULL,24.5,2017-02-14
NULL,NULL,24.1,2017-02-15
NULL,NULL,26.4,2017-02-16
NULL,NULL,27.6,2017-02-17
NULL,NULL,25,2017-02-18
NULL,NULL,27,2017-02-19
NULL,NULL,28.2,2017-02-20
NULL,NULL,27.8,2017-02-21
NULL,NULL,24.7,2017-02-22
NULL,NULL,26.4,2017-02-23
NULL,NULL,15,2017-02-24
NULL,NULL,15.6,2017-02-25
NULL,NULL,17.6,2017-02-26
NULL,NULL,19.3,2017-02-27
