max_center_usage,date
763.5,2016-10-01
738.5,2016-10-02
820,2016-10-03
850.6,2016-10-04
835.6,2016-10-05
835.6,2016-10-06
859,2016-10-07
756.9,2016-10-08
684.7,2016-10-09
711.8,2016-10-10
827.2,2016-10-11
797.1,2016-10-12
795.6,2016-10-13
783.2,2016-10-14
734.3,2016-10-15
714.4,2016-10-16
848.3,2016-10-17
842.1,2016-10-18
843.4,2016-10-19
855.9,2016-10-20
854.4,2016-10-21
765.6,2016-10-22
726.9,2016-10-23
834.8,2016-10-24
821.2,2016-10-25
854.7,2016-10-26
854.4,2016-10-27
837.4,2016-10-28
721.5,2016-10-29
668.3,2016-10-30
726.6,2016-10-31
744.3,2016-11-01
727.7,2016-11-02
741.8,2016-11-03
747.4,2016-11-04
690.7,2016-11-05
657.3,2016-11-06
781.2,2016-11-07
769.1,2016-11-08
733.1,2016-11-09
788.1,2016-11-10
772.2,2016-11-11
708.7,2016-11-12
684.4,2016-11-13
792.8,2016-11-14
805.2,2016-11-15
802.2,2016-11-16
807.6,2016-11-17
818.6,2016-11-18
751.9,2016-11-19
694.1,2016-11-20
802.4,2016-11-21
794.4,2016-11-22
768.6,2016-11-23
754.2,2016-11-24
781.5,2016-11-25
693.2,2016-11-26
660.2,2016-11-27
743.5,2016-11-28
784.3,2016-11-29
767.5,2016-11-30
729.3,2016-12-01
709.1,2016-12-02
676.2,2016-12-03
647.7,2016-12-04
740.7,2016-12-05
716.9,2016-12-06
750.1,2016-12-07
754.4,2016-12-08
738,2016-12-09
675.2,2016-12-10
647.6,2016-12-11
745.6,2016-12-12
745.5,2016-12-13
716.7,2016-12-14
716.9,2016-12-15
703.7,2016-12-16
675.6,2016-12-17
633.1,2016-12-18
747.3,2016-12-19
768.3,2016-12-20
748.1,2016-12-21
725.1,2016-12-22
716,2016-12-23
669.2,2016-12-24
627.2,2016-12-25
720.7,2016-12-26
711.6,2016-12-27
725.2,2016-12-28
705.4,2016-12-29
695.7,2016-12-30
645.6,2016-12-31
619.4,2017-01-01
655.6,2017-01-02
745.2,2017-01-03
773.4,2017-01-04
781.9,2017-01-05
749.5,2017-01-06
700.4,2017-01-07
662.4,2017-01-08
739.4,2017-01-09
752.6,2017-01-10
760.9,2017-01-11
744.1,2017-01-12
733,2017-01-13
667.6,2017-01-14
650.3,2017-01-15
748,2017-01-16
762.3,2017-01-17
732.8,2017-01-18
724.1,2017-01-19
721,2017-01-20
670.4,2017-01-21
641.6,2017-01-22
732.3,2017-01-23
721.3,2017-01-24
814.1,2017-04-19
815.7,2017-04-20
824.4,2017-04-21
664.6,2017-04-22
647.9,2017-04-23
779.5,2017-04-24
782.2,2017-04-25
827,2017-04-26
738.5,2017-04-27
733.6,2017-04-28
674,2017-04-29
655.4,2017-04-30
679.6,2017-05-01
790.9,2017-05-02
829.1,2017-05-03
841.4,2017-05-04
856.9,2017-05-05
742.2,2017-05-06
706.2,2017-05-07
846.5,2017-05-08
854.4,2017-05-09
862.5,2017-05-10
873.4,2017-05-11
871.2,2017-05-12
783.1,2017-05-13
735.5,2017-05-14
856.2,2017-05-15
818.3,2017-05-16
815.1,2017-05-17
857.8,2017-05-18
860.4,2017-05-19
743.1,2017-05-20
710.2,2017-05-21
878.9,2017-05-22
904.8,2017-05-23
899.9,2017-05-24
874,2017-05-25
837.2,2017-05-26
727.4,2017-05-27
698,2017-05-28
722.5,2017-05-29
735.2,2017-05-30
883.9,2017-05-31
835.5,2017-06-01
841.8,2017-06-02
780.9,2017-06-03
702.9,2017-06-04
900.7,2017-06-05
925,2017-06-06
947,2017-06-07
891.2,2017-06-08
904.2,2017-06-09
846.9,2017-06-10
751.1,2017-06-11
916.9,2017-06-12
910.1,2017-06-13
841.4,2017-06-14
814.9,2017-06-15
819.4,2017-06-16
739.2,2017-06-17
692.9,2017-06-18
813.5,2017-06-19
823.6,2017-06-20
863.7,2017-06-21
872.1,2017-06-22
924.2,2017-06-23
827.5,2017-06-24
794.4,2017-06-25
913.2,2017-06-26
910.9,2017-06-27
909.9,2017-06-28
912.2,2017-06-29
919.9,2017-06-30
